bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
Asmavia Iqbal,1,7,0,0,7.0,2015-10-29,Pakistan,West Indies,0,"National Cricket Stadium, St George's"
Asmavia Iqbal,3,16,0,0,5.333333333333333,2016-03-16,West Indies,West Indies,0,"MA Chidambaram Stadium, Chepauk"
Asmavia Iqbal,4,13,0,2,3.25,2016-03-19,Pakistan,Pakistan,0,Feroz Shah Kotla
Asmavia Iqbal,4,30,0,3,7.5,2016-03-24,Pakistan,Pakistan,0,Feroz Shah Kotla
Asmavia Iqbal,3,18,0,2,6.0,2016-03-27,Pakistan,England,0,"MA Chidambaram Stadium, Chepauk"
Asmavia Iqbal,2,20,0,1,10.0,2016-07-03,Pakistan,England,0,County Ground
Asmavia Iqbal,4,30,0,3,7.5,2016-11-21,Pakistan,New Zealand,0,Saxton Oval
Asmavia Iqbal,3,23,0,0,7.666666666666667,2016-12-04,Pakistan,India,0,Asian Institute of Technology Ground
Bilawal Bhatti,4,35,0,2,8.75,2013-11-20,Pakistan,South Africa,0,New Wanderers Stadium
Bilawal Bhatti,4,19,0,0,4.75,2013-11-22,Pakistan,Pakistan,0,Newlands
Bilawal Bhatti,3,25,0,1,8.333333333333334,2013-12-08,Pakistan,Pakistan,0,Sharjah Cricket Stadium
Bilawal Bhatti,3,23,0,0,7.666666666666667,2013-12-11,Sri Lanka,Pakistan,0,Dubai International Cricket Stadium
Bilawal Bhatti,2,32,0,0,16.0,2013-12-13,Sri Lanka,Sri Lanka,0,Dubai International Cricket Stadium
Bilawal Bhatti,2,17,0,1,8.5,2014-03-21,Pakistan,India,0,Shere Bangla National Stadium
Bilawal Bhatti,2,36,0,3,18.0,2014-03-23,Pakistan,Pakistan,0,Shere Bangla National Stadium
Bilawal Bhatti,3,37,0,0,12.333333333333334,2015-05-22,Zimbabwe,Pakistan,0,Gaddafi Stadium
Bilawal Bhatti,3,31,0,0,10.333333333333334,2015-05-24,Zimbabwe,Pakistan,0,Gaddafi Stadium
Bismah Maroof,1,6,0,0,6.0,2012-09-04,Pakistan,England,0,Haslegrave Ground
Bismah Maroof,1,9,0,0,9.0,2012-09-27,Pakistan,England,0,Galle International Stadium
Bismah Maroof,4,18,0,2,4.5,2012-10-01,Pakistan,Pakistan,0,Galle International Stadium
Bismah Maroof,3,19,0,0,6.333333333333333,2012-10-28,Pakistan,India,0,Guanggong International Cricket Stadium
Bismah Maroof,2,9,0,2,4.5,2012-10-30,Pakistan,Pakistan,0,Guanggong International Cricket Stadium
Bismah Maroof,4,14,0,2,3.5,2012-10-31,Pakistan,India,0,Guanggong International Cricket Stadium
Bismah Maroof,3,27,0,3,9.0,2013-07-05,Pakistan,Pakistan,0,Haslegrave Ground
Bismah Maroof,4,21,0,4,5.25,2013-07-16,Pakistan,Pakistan,0,YMCA Cricket Club
Bismah Maroof,2,5,0,1,2.5,2013-07-29,Pakistan,Pakistan,0,YMCA Cricket Club
Bismah Maroof,2,12,0,0,6.0,2014-01-19,Pakistan,Ireland,0,West End Park International Cricket Stadium
Bismah Maroof,1,2,0,0,2.0,2014-01-19,South Africa,Pakistan,0,West End Park International Cricket Stadium
Bismah Maroof,1,14,0,0,14.0,2014-03-27,Pakistan,New Zealand,0,Sylhet Stadium
Bismah Maroof,1,7,0,0,7.0,2014-08-30,Pakistan,Australia,0,Kerrydale Oval
Bismah Maroof,0,5,0,0,inf,2014-09-03,Pakistan,Australia,0,Kerrydale Oval
Bismah Maroof,4,22,0,1,5.5,2014-09-05,Pakistan,Australia,0,Kerrydale Oval
