,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
1,Ayasha Rahman,2.0,9,0,0,22.22222222222222,A Shrubsole,['CM Edwards'],caught,Ayasha Rahman,2016-03-17,England,England,0,M Chinnaswamy Stadium
0,Ayasha Rahman,8.0,16,1,0,50.0,IMHC Joyce,['MV Waldron'],caught,Ayasha Rahman,2016-09-05,Bangladesh,Ireland,0,"Bready Cricket Club, Magheramason"
8,Dhiman Ghosh,1.0,2,0,0,50.0,notOut,notOut,notOut,notOut,2008-04-20,Bangladesh,Pakistan,0,National Stadium
9,Elias Sunny,1.0,1,0,0,100.0,notOut,notOut,notOut,notOut,2012-07-26,Bangladesh,Netherlands,0,Sportpark Westvliet
8,Elias Sunny,5.0,3,1,0,166.66666666666669,TG Southee,['JDP Oram'],caught,Elias Sunny,2012-09-21,New Zealand,New Zealand,0,Pallekele International Cricket Stadium
6,Fahima Khatun,0.0,1,0,0,0.0,M Kapp,0,bowled,Fahima Khatun,2013-09-14,Bangladesh,South Africa,0,Senwes Park
8,Fahima Khatun,1.0,2,0,0,50.0,SC Selman,['SC Selman'],run out,Fahima Khatun,2014-03-26,West Indies,West Indies,0,Sylhet Stadium
8,Fahima Khatun,7.0,7,1,0,100.0,notOut,notOut,notOut,notOut,2014-03-30,India,India,0,Sylhet Stadium
7,Fahima Khatun,14.0,16,1,0,87.5,SS Weerakkody,['NND de Silva (sub)'],caught,Fahima Khatun,2014-04-01,Sri Lanka,Bangladesh,0,Sylhet Stadium
6,Fahima Khatun,0.0,3,0,0,0.0,LK O'Reilly,['MV Waldron'],caught,Fahima Khatun,2014-04-03,Ireland,Bangladesh,0,Sylhet Stadium
5,Fahima Khatun,1.0,3,0,0,33.33333333333333,Anam Amin,0,caught and bowled,Fahima Khatun,2015-09-30,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
6,Fahima Khatun,14.0,17,2,0,82.35294117647058,AA Patil,0,lbw,Fahima Khatun,2016-03-15,Bangladesh,India,0,M Chinnaswamy Stadium
9,Fahima Khatun,1.0,1,0,0,100.0,notOut,notOut,notOut,notOut,2016-03-20,West Indies,West Indies,0,"MA Chidambaram Stadium, Chepauk"
7,Fahima Khatun,4.0,3,0,0,133.33333333333331,notOut,notOut,notOut,notOut,2016-03-24,Pakistan,Pakistan,0,Feroz Shah Kotla
1,Fargana Hoque,3.0,11,0,0,27.27272727272727,SS Weerakkody,0,bowled,Fargana Hoque,2012-10-28,Sri Lanka,Bangladesh,0,Guanggong International Cricket Stadium
