bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
MJ Swepson,3,49,0,1,16.333333333333332,2016-12-28,Brisbane Heat,Brisbane Heat,0,Sydney Showground Stadium
MJ Swepson,4,32,0,1,8.0,2016-12-30,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
MJ Swepson,4,25,0,2,6.25,2017-01-03,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
MJ Swepson,4,27,0,2,6.75,2017-01-05,Brisbane Heat,Brisbane Heat,0,Western Australia Cricket Association Ground
MJ Swepson,4,22,0,2,5.5,2017-01-11,Perth Scorchers,Perth Scorchers,0,"Brisbane Cricket Ground, Woolloongabba"
MJ Swepson,4,14,0,2,3.5,2017-01-17,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
MJ Swepson,4,29,0,0,7.25,2017-01-20,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
MJ Swepson,4,31,0,2,7.75,2017-01-25,Sydney Sixers,0,tie,"Brisbane Cricket Ground, Woolloongabba"
MT Steketee,2,15,0,1,7.5,2014-01-02,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
MT Steketee,3,20,0,2,6.666666666666667,2014-01-08,Brisbane Heat,Brisbane Heat,0,Stadium Australia
MT Steketee,3,22,0,2,7.333333333333333,2014-01-11,Melbourne Stars,Melbourne Stars,0,"Brisbane Cricket Ground, Woolloongabba"
MT Steketee,3,29,0,1,9.666666666666666,2014-01-18,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
MT Steketee,2,27,0,0,13.5,2014-01-23,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
MT Steketee,2,18,0,0,9.0,2014-12-28,Melbourne Stars,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
MT Steketee,2,10,0,1,5.0,2015-01-04,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
MT Steketee,3,25,0,0,8.333333333333334,2015-01-08,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
MT Steketee,4,28,0,2,7.0,2015-01-15,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
MT Steketee,4,40,0,1,10.0,2015-12-19,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
MT Steketee,2,21,0,0,10.5,2015-12-26,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
MT Steketee,4,50,0,1,12.5,2015-12-29,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
